Ano,Trimestre,Categoria,Tipo,CNPJ IF,Instituição financeira,Irregularidade,Quantidade de reclamações procedentes,Unnamed: 8
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Abertura de conta de pagamento sem documentação necessária ou com documentação falsa - instituição de pagamento,70,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Bloqueio de valores ou de conta fora do âmbito do Pix - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Cancelamento de contrato a pedido do cliente de conta de pagamento pós-paga não atendido - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Cancelamento de contrato a pedido do cliente de conta de pagamento pré-paga não atendido - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Cobranças diversas de IPs,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Descumprimento de prazo de resposta da reclamação registrada no BCB - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),"Débito em conta de pagamento pré-paga não autorizado pelo cliente, ou não cumprimento das regras aplicáveis - instituição de pagamento",0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Falta de transparência na redação de documentos - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Inclusão de dados incorretos no CCS (Cadastro de Clientes do Sistema Financeiro Nacional) - instituição de pagamento,62,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Insatisfação com a resposta referente à reclamação registrada no BCB recebida - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Insatisfação com o atendimento prestado pelo SAC ou Central de Relacionamento - instituição de pagamento,3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades no processo de encerramento de conta de pagamento - instituição de pagamento,10,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas a boletos de pagamento (exceto ausência de contrato com beneficiário) para IPs,5,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento,26,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pós-paga - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pré-paga - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR) - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relacionadas à liquidação de documentos (exceto cheques) - instituição de pagamento,3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Irregularidades relativas a dados transacionais no Open Banking - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento",3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pré-paga - instituição de pagamento",39,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Limites de transação - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Não acatamento de solicitação de cancelamento de débitos automáticos em conta de pagamento pré-paga ou não cumprimento das regras aplicáveis - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada para conta de pagamento pós-paga - instituição de pagamento,3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Oferta ou prestação de informação a respeito de produtos e serviços de forma inadequada para conta de pagamento pré-paga - instituição de pagamento,3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Outras irregularidades - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Pix - Bloqueio ou devolução irregular de valores - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Pix - Dificuldade para solicitar ou realizar devolução - instituição de pagamento,8,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Pix - liquidação - instituição de pagamento,16,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Pix - outros - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),PIX - Chaves - instituição de pagamento,3,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),PIX - Diversos - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),PIX - Iniciação - instituição de pagamento,8,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Reclamações relacionadas a assuntos diversos envolvendo - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Recusa de produtos ou serviços - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Renegociação de dívida em instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),Restrições cadastrais por parte - instituição de pagamento,0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),"Terminais eletrônicos, internet e aplicativos - instituição de pagamento",0,
2026,1º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,99PAY IP (conglomerado),"Transações não reconhecidas pelo titular da conta, realizadas por terceiros (invasão de conta) - instituição de pagamento",0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Cobranças diversas,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Crédito consignado,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Irregularidades relacionadas ao fornecimento de documentos relativos a conta,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Irregularidades relacionadas ao Sistema de Informações de Crédito do Banco Central (SCR),0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços, exceto as relacionadas a cartão de crédito, cartão de débito, internet banking, ATM, credenciadora e operação de crédito",4,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Pix - iniciação,4,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ABC-BRASIL (conglomerado),Reclamações relacionadas a assuntos diversos,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ACG IP (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento",3,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Irregularidades relacionadas ao acompanhamento de conta de pagamento - instituição de pagamento,2,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Irregularidades relacionadas ao fornecimento de documentos por conta de pagamentos pós-paga - instituição de pagamento,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pós-paga - instituição de pagamento",2,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),"Irregularidades relativas a integridade, confiabilidade, segurança, sigilo ou legitimidade das operações e serviços prestados relacionados a conta de pagamento pré-paga - instituição de pagamento",2,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Pix - Dificuldade para solicitar ou realizar devolução - instituição de pagamento,2,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Pix - liquidação - instituição de pagamento,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Reclamações relacionadas a assuntos diversos envolvendo - instituição de pagamento,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Recusa de produtos ou serviços - instituição de pagamento,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,ADYEN DO BRASIL IP (conglomerado),Renegociação de dívida em instituição de pagamento,0,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,AGIBANK (conglomerado),Abertura de conta de pagamento sem documentação necessária ou com documentação falsa,4,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,AGIBANK (conglomerado),Ausência de título adequado relativo a cartão de crédito consignado,13,
2026,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,AGIBANK (conglomerado),Bloqueio de valores ou de conta fora do âmbito do Pix,36,
